Item,Description,Size,Color Code,Color,Wheel Size,Units available
M656TTCC,RISE H15 20mph,L,VM,Leo Orange - Black (Gloss),,1
M656TTCC,RISE H15 20mph,XL,V7,Metallic Mulberry-Black (Matt),,2
M656TTCC,RISE H15 20mph,XL,VL,Glitter Anthracite - Black (Gloss),,1
M656TTCC,RISE H15 20mph,XL,VM,Leo Orange - Black (Gloss),,5
M656TTCC,RISE H15 20mph,XL,VN,Mouse Grey - Sky Blue (Matt),,1
M657TTCC,RISE H10 20mph,M,V6,Iceberg Grey-Moondust Blue (Gloss),,1
M657TTCC,RISE H10 20mph,M,VL,Glitter Anthracite - Black (Gloss),,3
M657TTCC,RISE H10 20mph,M,VM,Leo Orange - Black (Gloss),,2
M657TTCC,RISE H10 20mph,M,VN,Mouse Grey - Sky Blue (Matt),,2
M657TTCC,RISE H10 20mph,L,VL,Glitter Anthracite - Black (Gloss),,2
M657TTCC,RISE H10 20mph,L,VM,Leo Orange - Black (Gloss),,2
M657TTCC,RISE H10 20mph,L,VN,Mouse Grey - Sky Blue (Matt),,1
M657TTCC,RISE H10 20mph,XL,VM,Leo Orange - Black (Gloss),,1
M657TTCC,RISE H10 20mph,XL,VN,Mouse Grey - Sky Blue (Matt),,1
M661TTCC,RISE M10 20mph,S,YW,Ocean (Matt) - Ice Green (Gloss),,1
M661TTCC,RISE M10 20mph,M,YV,Sap White - Mist Green (Gloss),,3
M661TTCC,RISE M10 20mph,M,YX,Blue Carbon (Gloss-Matt)-Redgold (Matt),,1
M661TTCC,RISE M10 20mph,L,YV,Sap White - Mist Green (Gloss),,1
M661TTCC,RISE M10 20mph,L,YW,Ocean (Matt) - Ice Green (Gloss),,3
M661TTCC,RISE M10 20mph,L,YX,Blue Carbon (Gloss-Matt)-Redgold (Matt),,3
M661TTCC,RISE M10 20mph,XL,YV,Sap White - Mist Green (Gloss),,2
M661TTCC,RISE M10 20mph,XL,YW,Ocean (Matt) - Ice Green (Gloss),,2
M661TTCC,RISE M10 20mph,XL,YX,Blue Carbon (Gloss-Matt)-Redgold (Matt),,3
M662TTCC,RISE M-TEAM 20mph,S,YX,Blue Carbon (Gloss-Matt)-Redgold (Matt),,2
M662TTCC,RISE M-TEAM 20mph,M,YX,Blue Carbon (Gloss-Matt)-Redgold (Matt),,2
M662TTCC,RISE M-TEAM 20mph,L,YX,Blue Carbon (Gloss-Matt)-Redgold (Matt),,1
M662TTCC,RISE M-TEAM 20mph,XL,YV,Sap White - Mist Green (Gloss),,2
M662TTCC,RISE M-TEAM 20mph,XL,YX,Blue Carbon (Gloss-Matt)-Redgold (Matt),,1
M665TTCC,URRUN 30 20mph,S,VH,Borealis Blue (Matt) - Luminous Yellow (Gloss),,1
M665TTCC,URRUN 30 20mph,S,VJ,Glitter Anthracite (Gloss) - Black (Matt),,3
M665TTCC,URRUN 30 20mph,M,VH,Borealis Blue (Matt) - Luminous Yellow (Gloss),,3
M665TTCC,URRUN 30 20mph,M,VK,Leo Orange (Gloss) - Black (Matt),,8
M665TTCC,URRUN 30 20mph,L,VK,Leo Orange (Gloss) - Black (Matt),,7
M665TTCC,URRUN 30 20mph,XL,VH,Borealis Blue (Matt) - Luminous Yellow (Gloss),,1
M665TTCC,URRUN 30 20mph,XL,VJ,Glitter Anthracite (Gloss) - Black (Matt),,1
